country,kgCO2/kWh,kgCH4/kWh,kgN2O/kWh
Africa,0.73576632,0.00001173634,0.00000857091
Albania,0.009130088,0.00000036964,0.00000007393
Algeria,0.66420926,0.00001224888,0.00000129799
Angola,0.037950113,0.00000150263,0.00000030053
Argentina,0.391932833,0.00000854291,0.00000136560
Armenia,0.128177031,0.00000228480,0.00000022848
Asia excluding China,0.928290633,0.00001271445,0.00001220912
Australia,0.991757127,0.00001100373,0.00001378366
Austria,0.176796609,0.00000221471,0.00000113728
Azerbaijan,0.391831037,0.00000779454,0.00000092935
Bahrain,0.726834092,0.00001296702,0.00000129873
Bangladesh,0.63714323,0.00001236287,0.00000191260
Belarus,0.610873739,0.00001129777,0.00000123000
Belgium,0.224767376,0.00000286310,0.00000111360
Benin,0.700678676,0.00002816912,0.00000563382
Bolivia,0.534996875,0.00001359792,0.00000208542
Bosnia and Herzegovina,1.32624734,0.00001404847,0.00002021378
Botswana,1.825675055,0.00001929889,0.00002894834
Brazil,0.092643638,0.00000178354,0.00000054043
Brunei Darussalam,0.819498808,0.00001477657,0.00000150781
Bulgaria,1.166008316,0.00001208887,0.00001724012
Cambodia,1.170839671,0.00004638275,0.00000927655
Cameroon,0.216568535,0.00000647952,0.00000111887
Canada,0.179763325,0.00000224792,0.00000237433
Caspian Region,0.588934769,0.00000834282,0.00000605837
Central/Eastern Europe,0.822497149,0.00000970106,0.00001077974
Chile,0.408614261,0.00000874334,0.00000506661
China (People's Republic of China and Hong Kong China),0.972581723,0.00001045906,0.00001515452
China,0.974624913,0.00001046892,0.00001520897
Chinese Taipei,0.578261935,0.00000783802,0.00000737691
Colombia,0.111425218,0.00000159354,0.00000090820
Congo,0.120109978,0.00000214100,0.00000021410
Democratic Republic of Congo",0.004158606,0.00000011248,0.00000001810
Costa Rica,0.063756361,0.00000256870,0.00000051374
Cote d'Ivoire,0.501179338,0.00000896986,0.00000090352
Croatia,0.386458364,0.00000783985,0.00000392156
Cuba,0.938086187,0.00003744566,0.00000748913
Cyprus,0.771651255,0.00002993387,0.00000598677
Czech Republic,0.93846226,0.00000957659,0.00001376475
Denmark,0.374745583,0.00000489961,0.00000478713
Dominican Republic,0.641741728,0.00002006643,0.00000560281
Ecuador,0.269613843,0.00000958927,0.00000182831
Egypt,0.500886095,0.00001158184,0.00000164902
El Salvador,0.256072792,0.00000992899,0.00000198580
Eritrea,0.677991638,0.00002650871,0.00000530174
Estonia,1.906907035,0.00001958828,0.00002841613
Ethiopia,0.118948451,0.00000481573,0.00000096315
Finland,0.225457295,0.00000260698,0.00000243179
Former USSR,0.537643872,0.00000751704,0.00000483930
France,0.070927465,0.00000101029,0.00000064904
Gabon,0.425188882,0.00001219725,0.00000205043
Georgia,0.089456936,0.00000159460,0.00000015946
Germany,0.672220452,0.00000721994,0.00000909965
Ghana,0.214767509,0.00000878994,0.00000175799
Gibraltar,0.772321446,0.00002993494,0.00000598699
Greece,1.921092777,0.00002327097,0.00002689972
Guatemala,0.341534936,0.00000968074,0.00000367144
Haiti,0.483325309,0.00001940123,0.00000388025
Honduras,0.415487352,0.00001613024,0.00000322605
Hong Kong (China),0.786680632,0.00000956214,0.00001020016
Hungary,0.589672564,0.00000739971,0.00000630232
Iceland,0.000193484,0.00000000783,0.00000000157
IEA Europe,0.453760609,0.00000569547,0.00000530833
IEA North America,0.499440779,0.00000599475,0.00000660995
IEA Total,0.488897248,0.00000612879,0.00000602145
India,1.333174843,0.00001552287,0.00002010920
Indonesia,0.684693977,0.00001409674,0.00000775254
Iran,0.631113877,0.00001497566,0.00000219612
Iraq,0.820614626,0.00003228380,0.00000645676
Ireland,0.521193132,0.00000818450,0.00000441372
Israel,0.740303524,0.00001076819,0.00000966067
Italy,0.410898038,0.00000707784,0.00000280634
Jamaica,0.796106233,0.00003096851,0.00000619370
Japan,0.443356848,0.00000709862,0.00000396430
Jordan,0.643924449,0.00001420454,0.00000192480
Kazakhstan,0.923181405,0.00001074725,0.00001382052
Kenya,0.332297783,0.00001307388,0.00000261478
North Korea,0.494658925,0.00000654965,0.00000744810
South Korea,0.504377662,0.00000631975,0.00000614340
Kuwait,0.637316929,0.00002139713,0.00000398217
Kyrgyzstan,0.091404273,0.00000131732,0.00000076819
Latin America,0.209693364,0.00000542780,0.00000134413
Latvia,0.192071871,0.00000343768,0.00000040372
Lebanon,0.694755686,0.00002758069,0.00000551614
Libyan Arab Jamahiriya,0.919629046,0.00003055807,0.00000562627
