image,company_name,product_name,rating,price,link
https://pelacase.com/cdn/shop/products/SHROOMS-AND-BLOOMS_IP14P_Seashell.jpg?crop=center&height=900&v=1663784113&width=900,Pela,Seashell Shrooms and Blooms iPhone 14 Pro Case with MagSafe Module,4/5,64.95,https://pelacase.com/products/seashell-shrooms-and-blooms-eco-friendly-iphone-14-pro-case
https://pelacase.com/cdn/shop/products/DISCO_IP12_Seashell.jpg?crop=center&height=720&v=1656515143&width=720,Pela,Seashell Disco iPhone 12/iPhone 12 Pro Case,4.7/5,47.95,https://pelacase.com/products/seashell-disco-eco-friendly-iphone-12-iphone-12-pro-case
https://www.wigglywoos.com/cdn/shop/products/rope-leash-cork-handle.jpg?v=1518888471&width=3000,Wigglywoos,Hemp Rope Dog Leash with Cork Handle,4/5,38.65,https://www.wigglywoos.com/collections/dog-leashes-1/products/hemp-rope-dog-leash-with-cork-leather-handle?variant=14640061055019
https://harrybarker.com/cdn/shop/products/plush-toy-tweed-squirrel-plush-dog-toy-1_dba7bc89-6859-412a-8f05-c2abb60b26c5_800x.jpg?v=1616426195,Harrybarker,tweed squirrel plush dog toy,4.5/5,16.00,https://harrybarker.com/products/tweed-squirrel-plush-dog-toy-wholesale?variant=19696256876644
https://shamelesspets.com/cdn/shop/files/CarrateChomp_front_NO-treat-UPDATE2023_5-3-23_1500x1500px_2_1000x.png?v=1684786577,Shameless Pets,Carrate Chomp Dental Sticks,4/5,8.99,https://shamelesspets.com/products/carrate-chomp-dental-sticks
https://pangaia.com/cdn/shop/files/High-Tech-Naturalist-Club-Organic-Cotton-T-Shirt-Black-1-NEW_result.png?v=1689160858,Pangaia,High-Tech Naturalists Club T-Shirt - Black,3.5/5,60.00,https://pangaia.com/products/high-tech-naturalists-club-t-shirt-black
https://ortakitchengarden.com/cdn/shop/products/SixiewithplantsP_1100x.jpg?v=1592583532,Orta Gardens,Sixie Self Watering Seed Pot,5/5,43.00,https://ortakitchengarden.com/products/sixie-self-watering-seed-pot?variant=47864192020
https://radiateportablecampfire.com/cdn/shop/products/Original-Tan_540x.jpg?v=1640212977,Radiate,Radiate Campfire Original - Made in USA,5/5,27.99,https://radiateportablecampfire.com/products/radiate-portable-campfire-original-shark-tank
https://content.cylindo.com/api/v2/4955/products/LANGDON_FIXED_CHAIR/frames/1/LANGDON_FIXED_CHAIR.JPG?background=FFFFFF&feature=COLOR:SHALE&size=1800,Yardbird,Langdon Outdoor Fixed Chair,4.8/5,592.50,https://yardbird.com/collections/fixed-chairs/products/langdon-fixed-chair/
https://content.cylindo.com/api/v2/4955/products/LANGDON_LARGE_SECTIONAL_SET/frames/1/LANGDON_LARGE_SECTIONAL_SET.JPG?background=FFFFFF&feature=COLOR:SHALE&feature=CORNER:90%20DEGREE%20CORNER&feature=TABLE:COFFEE%20TABLE&size=1800,Yardbird,Langdon Outdoor Large Sectional Set,4.9/5,2917.50,https://yardbird.com/collections/outdoor-sectional-furniture/products/langdon-large-sectional-set/
